freq,unit,accident,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,OTH,IT	5 	3 	3 	7 	3 	2 	1 	1 	6 	2 	5 	7 	6 	6 	13 	14 	6 	9 
A,NR,OTH,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,LV	0 	5 	5 	2 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,ME	: 	: 	: 	: 	: 	: 	: 	33 	6 	7 	26 	: 	: 	: 	: 	: 	: 	: 
A,NR,OTH,MK	: 	: 	: 	59 	88 	78 	64 	4 	1 	7 	45 	17 	62 	: 	: 	: 	: 	: 
A,NR,OTH,NL	0 	0 	1 	1 	1 	6 	3 	1 	1 	1 	2 	2 	3 	4 	2 	1 	0 	0 
A,NR,OTH,NO	1 	3 	0 	0 	0 	7 	2 	0 	5 	1 	0 	0 	2 	2 	0 	2 	2 	2 
A,NR,OTH,PL	86 	88 	92 	12 	7 	5 	4 	0 	2 	3 	0 	1 	2 	3 	3 	6 	6 	7 
A,NR,OTH,PT	: 	4 	1 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 
A,NR,OTH,RO	35 	34 	10 	9 	11 	5 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,SE	7 	6 	6 	4 	7 	8 	5 	1 	6 	7 	5 	6 	5 	9 	10 	6 	2 	9 
A,NR,OTH,SI	2 	5 	6 	5 	1 	0 	3 	0 	0 	1 	1 	0 	0 	0 	0 	1 	0 	0 
A,NR,OTH,SK	55 	41 	50 	88 	1 	0 	1 	1 	0 	2 	1 	0 	0 	0 	0 	5 	3 	2 
A,NR,OTH,TR	0 	0 	0 	2 	1 	3 	9 	1 	3 	6 	4 	1 	5 	: 	4 	4 	: 	: 
A,NR,OTH,UK	1 	0 	2 	4 	5 	2 	3 	0 	0 	0 	0 	0 	0 	1 	1 	: 	: 	: 
A,NR,RSTK_FIRE,AT	1 	1 	0 	1 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	5 	1 
